
R1L1,6.385,3.664,219.840,18.480.424,3.266,216.176,815.595,280
R1L2,6.543,3.668,220.080,18.489.668,3.101,216.412,825.065,291
R1L3,7.031,4.184,251.040,21.100.184,3.287,246.856,915.429,331
R1L4,8.528,4.760,285.600,23.997.680,3.813,280.840,1.073.150,446
R2L1,7.361,4.156,249.360,20.960.656,3.442,245.204,930.706,387
R2L2,7.563,4.204,252.240,21.195.364,3.815,248.036,948.427,383
R2L3,8.286,5.048,302.880,25.446.548,3.903,297.832,1.091.753,633
R2L4,13.173,7.660,459.600,38.653.720,7.447,451.940,1.693.148,561
R3L1,9.145,4.516,270.960,22.747.456,3.853,266.444,1.078.972,475
R3L2,9.251,4.452,267.120,22.427.892,3.809,262.668,1.077.765,452
R3L3,11.169,5.724,343.440,28.812.444,4.710,337.716,1.341.989,506
R3L4,15.657,8.180,490.800,41.269.220,7.485,482.620,1.902.987,702
R4L1,10.262,4.932,295.920,24.776.172,4.374,290.988,1.193.318,598
R4L2,10.735,5.048,302.880,25.350.248,4.448,297.832,1.235.149,494
R4L3,13.238,6.368,382.080,31.965.608,6.711,375.712,1.539.958,629
R4L4,17.754,8.384,503.040,42.205.124,7.387,494.656,2.048.635,638
BL1,7.985,2.688,161.280,13.713.408,2.663,158.592,776.655,327
BL2,7.485,2.606,156.360,13.270.826,2.683,153.754,737.430,317
BL3,9.308,3.044,182.640,15.536.744,3.083,179.596,895.294,395
BL4,13.499,3.816,228.960,19.608.456,23.416,225.144,1.232.514,437
R1L1v,6.495,3.664,219.840,18.480.424,3.055,216.176,822.085,393
R4L4v,18.020,8.384,503.040,42.205.124,8.286,494.656,2.064.329,681
